rate,billing_period,basic,low_intermediate,high_intermediate,excess
1C,2024-01,0.909,1.051,1.355,3.62
1C,2024-02,0.912,1.055,1.36,3.633
1C,2024-03,0.915,1.059,1.365,3.646
1C,2024-04,0.918,1.063,1.37,3.659
1C,2024-05,0.921,1.067,1.375,3.672
1C,2024-06,0.924,1.071,1.38,3.685
1C,2024-07,0.927,1.075,1.385,3.698
1C,2024-08,0.93,1.079,1.39,3.711
1C,2024-09,0.933,1.083,1.395,3.724
1C,2024-10,0.936,1.087,1.4,3.737
1C,2024-11,0.939,1.091,1.405,3.75
1C,2024-12,0.942,1.095,1.41,3.763
1D,2024-01,0.909,1.051,1.355,3.62
1D,2024-02,0.912,1.055,1.36,3.633
1D,2024-03,0.915,1.059,1.365,3.646
1D,2024-04,0.918,1.063,1.37,3.659
1D,2024-05,0.921,1.067,1.375,3.672
1D,2024-06,0.924,1.071,1.38,3.685
1D,2024-07,0.927,1.075,1.385,3.698
1D,2024-08,0.93,1.079,1.39,3.711
1D,2024-09,0.933,1.083,1.395,3.724
1D,2024-10,0.936,1.087,1.4,3.737
1D,2024-11,0.939,1.091,1.405,3.75
1D,2024-12,0.942,1.095,1.41,3.763
1E,2024-01,0.755,0.943,1.224,3.62
1E,2024-02,0.758,0.946,1.228,3.633
1E,2024-03,0.761,0.949,1.232,3.646
1E,2024-04,0.764,0.952,1.236,3.659
1E,2024-05,0.767,0.955,1.24,3.672
1E,2024-06,0.77,0.958,1.244,3.685
1E,2024-07,0.773,0.961,1.248,3.698
1E,2024-08,0.776,0.964,1.252,3.711
1E,2024-09,0.779,0.967,1.256,3.724
1E,2024-10,0.782,0.97,1.26,3.737
1E,2024-11,0.785,0.973,1.264,3.75
1E,2024-12,0.788,0.976,1.268,3.763
1F,2024-01,0.755,0.943,2.229,3.62
1F,2024-02,0.758,0.946,2.298,3.633
1F,2024-03,0.761,0.949,2.306,3.646
1F,2024-04,0.764,0.952,2.314,3.659
1F,2024-05,0.767,0.955,2.322,3.672
1F,2024-06,0.77,0.958,2.33,3.685
1F,2024-07,0.773,0.961,2.338,3.698
1F,2024-08,0.776,0.964,2.346,3.711
1F,2024-09,0.779,0.967,2.354,3.724
1F,2024-10,0.782,0.97,2.362,3.737
1F,2024-11,0.785,0.973,2.37,3.75
1F,2024-12,0.788,0.976,2.378,3.763
