rate,billing_period,basic,intermediate,excess
1A,2024-01,1.015,1.239,3.62
1A,2024-02,1.019,1.243,3.633
1A,2024-03,1.023,1.247,3.646
1A,2024-04,1.027,1.251,3.659
1A,2024-05,1.031,1.255,3.672
1A,2024-06,1.035,1.259,3.685
1A,2024-07,1.039,1.263,3.698
1A,2024-08,1.043,1.267,3.711
1A,2024-09,1.047,1.271,3.724
1A,2024-10,1.051,1.275,3.737
1A,2024-11,1.055,1.28,3.75
1A,2024-12,1.059,1.285,3.763
1B,2024-01,0.909,1.051,3.62
1B,2024-02,0.912,1.055,3.633
1B,2024-03,0.915,1.059,3.646
1B,2024-04,0.918,1.063,3.659
1B,2024-05,0.921,1.067,3.672
1B,2024-06,0.924,1.071,3.685
1B,2024-07,0.927,1.075,3.698
1B,2024-08,0.93,1.079,3.711
1B,2024-09,0.933,1.083,3.724
1B,2024-10,0.936,1.087,3.737
1B,2024-11,0.939,1.091,3.75
1B,2024-12,0.942,1.095,3.763
1C,2024-01,1.015,1.239,3.62
1C,2024-02,1.019,1.243,3.633
1C,2024-03,1.023,1.247,3.646
1C,2024-04,1.027,1.251,3.659
1C,2024-05,1.031,1.255,3.672
1C,2024-06,1.035,1.259,3.685
1C,2024-07,1.039,1.263,3.698
1C,2024-08,1.043,1.267,3.711
1C,2024-09,1.047,1.271,3.724
1C,2024-10,1.051,1.275,3.737
1C,2024-11,1.055,1.28,3.75
1C,2024-12,1.059,1.285,3.763
1D,2024-01,1.015,1.239,3.62
1D,2024-02,1.019,1.243,3.633
1D,2024-03,1.023,1.247,3.646
1D,2024-04,1.027,1.251,3.659
1D,2024-05,1.031,1.255,3.672
1D,2024-06,1.035,1.259,3.685
1D,2024-07,1.039,1.263,3.698
1D,2024-08,1.043,1.267,3.711
1D,2024-09,1.047,1.271,3.724
1D,2024-10,1.051,1.275,3.737
1D,2024-11,1.055,1.28,3.75
1D,2024-12,1.059,1.285,3.763
1E,2024-01,1.015,1.239,3.62
1E,2024-02,1.019,1.243,3.633
1E,2024-03,1.023,1.247,3.646
1E,2024-04,1.027,1.251,3.659
1E,2024-05,1.031,1.255,3.672
1E,2024-06,1.035,1.259,3.685
1E,2024-07,1.039,1.263,3.698
1E,2024-08,1.043,1.267,3.711
1E,2024-09,1.047,1.271,3.724
1E,2024-10,1.051,1.275,3.737
1E,2024-11,1.055,1.28,3.75
1E,2024-12,1.059,1.285,3.763
1F,2024-01,0.755,1.239,3.62
1F,2024-02,0.758,1.243,3.633
1F,2024-03,0.761,1.247,3.646
1F,2024-04,0.764,1.251,3.659
1F,2024-05,0.767,1.255,3.672
1F,2024-06,0.77,1.259,3.685
1F,2024-07,0.773,1.263,3.698
1F,2024-08,0.776,1.267,3.711
1F,2024-09,0.779,1.271,3.724
1F,2024-10,0.782,1.275,3.737
1F,2024-11,0.785,1.28,3.75
1F,2024-12,0.788,1.285,3.763
